;Player;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass
52;Toby Alderweireld;1567;82.7;37304;9766
53;Haitam Aleesami;910;77.8;15008;6447
54;Álex Alegría;23;65.7;329;41
55;Carles Aleñá;143;91.7;2693;591
56;Carles Aleñá;333;85.6;6534;1240
57;Rúnar Alex Rúnarsson;237;72.5;7492;4994
58;Trent Alexander-Arnold;2254;71.6;49838;19993
59;Enrico Alfonso;53;70.7;1492;856
60;Rachid Alioui;342;73.2;5013;717
61;Alisson;794;85.8;22277;12306
62;Allan;718;86.6;13383;3236
63;Dele Alli;621;77.1;10289;2384
64;Miguel Almirón;682;76.3;10799;2574
65;Marcos Alonso;916;82.7;16220;4972
66;Mickaël Alphonse;500;69.8;9890;3681
67;Sergio Álvarez;39;73.6;1106;579
68;Sergio Álvarez;322;75.4;6679;1719
69;Yeray Álvarez;1149;81.9;26106;8436
70;Bruno Alves;1096;83.5;30909;10181
71;Steven Alzate;564;84.9;8968;2602
72;Ibrahim Amadou;310;85.9;6355;1786
73;Ibrahim Amadou;231;79.1;3864;785
74;Romain Amalfitano;700;78.5;14196;4188
75;Amath;12;70.6;201;65
76;Jordan Amavi;983;80.4;17616;6119
77;Thierry Ambrose;140;72.5;2513;752
78;Kelvin Amian;551;82.4;9533;3668
79;Nadiem Amiri;906;78.9;16090;4293
80;Ethan Ampadu;74;94.9;1495;445
81;Opoku Ampomah;63;60.6;1201;337
82;Sofyan Amrabat;1525;87.7;31615;6295
83;Joachim Andersen;1192;91.1;27960;7114
84;Djavan Anderson;58;85.3;1005;206
85;Felipe Anderson;725;77.6;12055;3505
86;Sebastian Andersson;495;62.3;6724;1423
87;Florin Andone;8;66.7;77;20
88;Benjamin André;981;79.2;17299;4174
89;Lorenzo Andrenacci;128;78.5;4227;2624
90;Robert Andrich;857;71.2;15607;5438
91;Victorien Angban;548;88.1;10236;2280
92;Miguel Ángel Guerrero;149;74.1;2142;370
93;Miguel Ángel Moyá;363;79.3;11153;6654
94;José Ángel;982;67.1;21600;10110
95;Angeliño;573;75.6;10452;3997
96;Angeliño;335;78.6;6063;1711
97;Faustino Anjorin;7;100.0;121;14
98;Peter Ankersen;501;82.5;8125;2994
99;Cristian Ansaldi;582;70.5;12734;4919
100;Janis Antiste;5;55.6;96;11
101;Michail Antonio;325;64.1;5127;1295
102;Antoñito;321;71.0;5686;2457
103;Mirko Antonucci;17;77.3;211;23
104;Vitorino Antunes;0;0.0;0;0
105;Christopher Antwi-Adjei;603;71.3;10471;3401
106;Anuar;86;85.1;1525;254
107;Houssem Aouar;911;84.7;15872;3591
108;Adil Aouchiche;24;77.4;374;57
109;Dennis Appiah;744;77.2;11758;5492
110;Mauro Arambarri;649;66.8;14046;3443
111;Guilherme Arana;42;77.8;796;273
112;Charles Aránguiz;1397;85.9;25553;7830
113;Luiz Araújo;223;72.2;3737;839
114;Néstor Araujo;1290;87.0;28790;8278
115;Ronald Araújo;197;94.7;3840;793
116;Anaitz Arbilla;870;74.4;21845;6949
117;Alphonse Areola;114;84.4;2998;1661
118;Alphonse Areola;56;96.6;1130;742
119;Santiago Arias;498;76.3;8487;3889
120;Nicolò Armini;2;100.0;26;6
121;Stuart Armstrong;466;76.1;7275;2375
122;José Arnaiz;130;73.0;2089;475
123;José Arnaiz;73;75.3;1185;391
124;Maximilian Arnold;1152;74.8;25929;8578
125;Kepa Arrizabalaga;877;80.8;23673;12278
126;Kwadwo Asamoah;296;79.6;5000;1502
127;Santiago Ascacíbar;260;84.4;4754;931
128;Sergio Asenjo;742;71.4;22187;12550
129;Marco Asensio;134;82.2;2312;451
130;Kristoffer Askildsen;30;85.7;515;118
131;Iago Aspas;998;77.8;15857;3047
132;Roger Assalé;105;82.7;1701;438
133;Miguel Atienza;10;71.4;169;20
134;Christian Atsu;163;78.4;2591;563
135;Youcef Attal;411;80.7;6493;1960
136;Pierre-Emerick Aubameyang;612;68.9;9377;2584
137;Emil Audero;660;63.6;21725;14133
138;Tommaso Augello;635;77.0;10865;4894
139;Jean-Kévin Augustin;33;82.5;490;47
140;Ludwig Augustinsson;387;72.5;6753;2939
141;Serge Aurier;1262;76.3;20973;7402
142;Mathias Autret;381;67.8;7335;2395
143;Ezequiel Ávila;185;57.3;3456;833
144;Javier Avilés;48;67.6;862;392
145;Chidozie Awaziem;598;78.0;12895;5236
146;Taiwo Awoniyi;74;72.5;1205;345
147;Florian Ayé;219;71.1;3023;557
148;Jordan Ayew;686;81.9;9695;1890
149;Kaan Ayhan;1472;83.8;34281;12653
150;Ramon Azeez;316;80.2;5621;1240
151;César Azpilicueta;2267;79.9;40363;15489
152;Ludovic Baal;500;80.8;8858;3971
153;Iddrisu Baba;1046;81.4;19955;5376
154;Khouma Babacar;225;73.5;3297;539
155;Carlos Bacca;101;75.9;1555;125
156;Milan Badelj;786;81.6;15714;4258
157;Matthias Bader;4;57.1;56;15
158;Bastian Badu;6;100.0;95;8
159;Alejandro Baena;4;100.0;58;0
160;Stéphane Bahoken;150;73.5;2245;323
161;Daniel Baier;684;77.4;13902;4043
162;Leon Bailey;326;67.8;6112;1878
163;Eric Bailly;64;88.9;1266;433
164;Dénys Bain;610;93.1;13540;3698
165;Leighton Baines;168;80.4;2952;1099
166;Stefan Bajic;19;100.0;509;312
167;Tiemoué Bakayoko;831;86.5;14795;3853
168;Lewis Baker;184;80.0;4067;844
169;Mitchel Bakker;91;96.8;1444;427
170;Ridle Baku;830;71.7;16301;5889
171;Fabián Balbuena;361;74.1;8137;2891
172;Keita Baldé;207;70.2;3023;767
173;George Baldock;1173;75.6;18048;6540
174;Gareth Bale;360;75.0;6349;1579
175;Mikel Balenziaga;188;72.9;3272;1457
176;Leonardo Balerdi;114;89.1;2210;574
177;Marco Ballarini;5;100.0;106;35
178;Fodé Ballo-Touré;686;79.7;11942;4031
179;Florent Balmont;222;83.5;3875;954
180;Mario Balotelli;238;64.7;4650;1132
181;Abdoulaye Bamba;207;74.2;3542;1719
182;Jonathan Bamba;669;80.5;11101;3168
183;Éver Banega;1951;82.2;42577;12814
184;Mattia Bani;908;81.9;21183;6913
185;Antonín Barák;76;73.1;1160;334
186;Antonín Barák;571;81.5;9725;2658
187;Federico Barba;146;67.0;2704;1161
188;Danilo Barbosa;731;91.4;14004;3689
189;Melvin Bard;40;85.1;639;158
190;Enis Bardhi;625;73.3;10380;3265
191;Phil Bardsley;599;66.8;11391;5401
192;Nicolò Barella;1015;82.1;19862;6006
193;Philipp Bargfrede;204;76.1;3743;1232
194;Antonino Barillà;402;77.2;7181;1906
195;Kike Barja;62;69.7;966;270
196;Ross Barkley;540;87.7;10340;1952
197;Aymen Barkok;17;58.6;345;113
198;Ashley Barnes;155;61.3;2116;552
199;Harvey Barnes;559;76.7;8288;2048
200;Antonio Barragán;377;82.0;6658;2342
