;Player;ShootOnTarget;ShootPer90;GoalPerShoot
287;Andrea Bertolacci;2;0.67;0.00
288;Ryan Bertrand;4;0.62;0.05
289;Muhamed Bešić;2;1.44;0.00
290;Louis Beyer;0;0.00;
291;Ermin Bičakčić;2;0.61;0.25
292;Pedro Bigas;5;0.41;0.38
293;Lucas Biglia;1;0.79;0.00
294;El Bilal Touré;4;1.79;0.11
295;Philip Billing;8;1.21;0.03
296;Cristiano Biraghi;6;0.57;0.20
297;Davide Biraschi;2;0.27;0.00
298;Valter Birsa;0;0.63;0.00
299;Dimitri Bisoli;9;1.09;0.04
300;Yves Bissouma;6;1.14;0.06
301;Leonardo Bittencourt;0;30.00;0.00
302;Leonardo Bittencourt;11;2.00;0.10
303;Birkir Bjarnason;3;1.02;0.00
304;Rubén Blanco;0;0.00;
305;Ludovic Blas;20;2.24;0.11
306;Pablo de Blasis;4;0.73;0.08
307;Alejandro Blesa;0;0.00;
308;Alexis Blin;0;0.10;0.00
309;Jérôme Boateng;2;0.30;0.00
310;Kevin-Prince Boateng;4;2.70;0.06
311;Antonin Bobichon;0;1.00;0.00
312;Antonin Bobichon;5;2.77;0.10
313;Salvatore Bocchetti;0;0.00;
314;Mathieu Bodmer;2;4.09;0.25
315;Adam Bodzek;4;0.40;0.00
316;Jean-Paul Boëtius;12;1.47;0.11
317;Sacha Boey;0;0.52;0.00
318;Jeremie Boga;20;2.04;0.19
319;Melayro Bogarde;0;0.00;
320;Quentin Boisgard;2;1.41;0.06
321;Willy Boly;3;0.18;0.00
322;Giacomo Bonaventura;14;2.96;0.07
323;Federico Bonazzoli;16;5.08;0.14
324;Gaëtan Bong;0;0.00;
325;Kevin Bonifazi;1;1.09;0.33
326;Kevin Bonifazi;1;0.38;0.20
327;Federico Bonini;0;0.00;
328;Leonardo Bonucci;8;0.67;0.13
329;Fabio Borini;14;4.23;0.05
330;Fabio Borini;0;2.57;0.00
331;Dennis Borkowski;0;0.00;
332;Robin Bormuth;0;0.00;
333;Sebastiaan Bornauw;7;0.66;0.33
334;Brandon Borrello;1;1.81;0.00
335;Gabriel Boschilia;0;3.46;0.00
336;Denis Bouanga;34;3.35;0.09
337;Hicham Boudaoui;4;0.73;0.25
338;Ryad Boudebouz;5;1.35;0.00
339;Sofiane Boufal;7;2.47;0.00
340;Nassim Boujellab;0;1.29;0.00
341;Farid Boulaya;9;2.63;0.08
342;Yassine Bounou;0;0.00;
343;Mehdi Bourabia;5;0.97;0.10
344;Benjamin Bourigeaud;10;1.89;0.05
345;Bilal Boutobba;0;0.00;
346;Jarrod Bowen;7;2.36;0.04
347;Dedryck Boyata;4;0.67;0.22
348;John Boye;2;0.21;0.40
349;Can Bozdogan;2;1.53;0.00
350;Domagoj Bradarić;0;0.32;0.00
351;Filip Bradarić;4;0.64;0.00
352;Robbie Brady;1;2.38;0.08
353;Martin Braithwaite;8;2.87;0.08
354;Martin Braithwaite;16;1.86;0.15
355;Federico Brancolini;0;0.00;
356;Brandon;2;2.00;0.00
357;Julian Brandt;15;1.35;0.09
358;Jarrad Branthwaite;0;0.00;
359;Darko Brašanac;7;0.84;0.00
360;Claudio Bravo;0;0.00;
361;Josip Brekalo;15;2.26;0.07
362;Gleison Bremer;6;0.44;0.27
363;Marco Brescianini;0;0.00;
364;Anthony Briançon;3;0.88;0.06
365;Jimmy Briand;10;1.59;0.22
366;Yan Brice Eteki;0;0.42;0.00
367;Armando Broja;0;0.00;
368;Dylan Bronn;1;0.22;0.00
369;David Brooks;2;1.07;0.17
370;John Brooks;4;0.49;0.00
371;Daniel Brosinski;7;1.16;0.05
372;Josh Brownhill;0;0.56;0.00
373;Marcelo Brozović;16;1.87;0.05
374;Gastón Brugman;1;0.62;0.00
375;Jeffrey Bruma;2;1.00;0.00
376;Jeffrey Bruma;0;0.93;0.00
377;Jacob Bruun Larsen;1;0.92;0.00
378;Jacob Bruun Larsen;0;0.00;
379;Bryan;4;2.26;0.07
380;Bryan;0;0.00;
381;Lucas Buadés;0;0.00;
382;Ante Budimir;20;1.76;0.20
383;Emi Buendía;11;1.46;0.03
384;Gianluigi Buffon;0;0.00;
385;Marius Bülter;15;1.55;0.18
386;Esteban Burgos;1;0.16;0.50
387;Guido Burgstaller;8;2.55;0.00
388;Burgui;0;0.00;
389;Jonathan Burkardt;2;2.49;0.14
390;Oliver Burke;9;1.26;0.05
391;Roman Bürki;0;0.00;
392;Dan Burn;0;0.41;0.00
393;Patrick Burner;1;0.44;0.14
394;Sergio Busquets;4;0.36;0.20
395;Unai Bustinza;3;0.23;0.00
396;Ludovic Butelle;0;0.00;
397;Marcin Bułka;0;0.00;
398;Sam Byram;2;1.11;0.00
399;Erick Cabaco;0;0.34;0.00
400;Erick Cabaco;0;0.44;0.00
401;Willy Caballero;0;0.00;
402;Yohan Cabaye;3;1.15;0.00
403;Manuel Cabit;0;0.00;
404;Ariday Cabrera;1;2.43;0.00
405;Leandro Cabrera;3;0.53;0.22
406;Leandro Cabrera;0;0.06;0.00
407;Fabrizio Cacciatore;0;0.31;0.00
408;Martín Cáceres;3;0.46;0.08
409;Anthony Caci;3;0.52;0.25
410;Jhonder Cádiz;12;3.38;0.07
411;Mathieu Cafaro;14;3.70;0.00
412;Jonathan Cafu;0;0.45;0.00
413;Gary Cahill;5;0.83;0.00
414;Felipe Caicedo;14;1.92;0.30
415;Arturo Calabresi;1;0.29;0.17
416;Davide Calabria;2;0.72;0.08
417;Riccardo Calafiori;0;0.00;
418;Mattia Caldara;0;0.38;0.00
419;Marco Calderoni;5;1.00;0.13
420;Fernando Calero;0;0.00;
421;Duje Ćaleta-Car;4;0.72;0.07
422;Hakan Çalhanoğlu;32;3.39;0.08
423;Daniel Caligiuri;11;1.69;0.02
424;José Callejón;15;1.74;0.10
425;Jonathan Calleri;14;2.29;0.02
426;Dominic Calvert-Lewin;37;2.84;0.16
427;Mahdi Camara;2;0.70;0.00
428;Souleymane Camara;2;1.66;0.00
429;Víctor Camarasa;0;0.00;
430;Víctor Camarasa;2;0.56;0.00
431;Eduardo Camavinga;4;0.68;0.06
432;Sergio Camello;0;0.00;
433;José Campaña;8;1.25;0.05
434;Xisco Campos;0;0.76;0.00
435;Víctor Campuzano;7;1.86;0.00
436;Emre Can;4;1.51;0.13
437;Emre Can;2;2.22;0.00
438;Sergio Canales;14;1.34;0.06
