;Player;Crosses;PenaltyWon;AerialWonRate
387;Guido Burgstaller;9;0;26.1
388;Burgui;0;0;0.0
389;Jonathan Burkardt;1;0;30.0
390;Oliver Burke;19;0;37.7
391;Roman Bürki;0;0;
392;Dan Burn;40;0;72.5
393;Patrick Burner;23;0;36.4
394;Sergio Busquets;0;0;54.1
395;Unai Bustinza;35;0;56.7
396;Ludovic Butelle;0;0;
397;Marcin Bułka;0;0;
398;Sam Byram;3;0;58.3
399;Erick Cabaco;3;0;85.7
400;Erick Cabaco;0;0;54.1
401;Willy Caballero;0;0;
402;Yohan Cabaye;8;0;58.8
403;Manuel Cabit;9;0;0.0
404;Ariday Cabrera;0;0;
405;Leandro Cabrera;14;0;63.7
406;Leandro Cabrera;21;0;69.7
407;Fabrizio Cacciatore;27;0;56.5
408;Martín Cáceres;10;0;59.3
409;Anthony Caci;20;0;50.0
410;Jhonder Cádiz;11;0;47.7
411;Mathieu Cafaro;40;1;31.6
412;Jonathan Cafu;1;0;0.0
413;Gary Cahill;0;0;63.4
414;Felipe Caicedo;2;3;30.8
415;Arturo Calabresi;24;0;47.1
416;Davide Calabria;29;0;55.6
417;Riccardo Calafiori;1;1;
418;Mattia Caldara;1;0;63.5
419;Marco Calderoni;75;0;42.9
420;Fernando Calero;1;0;45.5
421;Duje Ćaleta-Car;3;0;73.4
422;Hakan Çalhanoğlu;60;0;30.8
423;Daniel Caligiuri;48;0;51.7
424;José Callejón;99;0;37.0
425;Jonathan Calleri;22;0;48.7
426;Dominic Calvert-Lewin;19;0;46.4
427;Mahdi Camara;4;0;65.4
428;Souleymane Camara;2;0;37.0
429;Víctor Camarasa;0;0;
430;Víctor Camarasa;13;0;44.4
431;Eduardo Camavinga;1;0;52.3
432;Sergio Camello;0;0;100.0
433;José Campaña;53;0;46.5
434;Xisco Campos;1;0;60.7
435;Víctor Campuzano;5;0;23.9
436;Emre Can;4;0;70.0
437;Emre Can;4;0;100.0
438;Sergio Canales;76;0;15.4
439;João Cancelo;36;0;52.4
440;Antonio Candreva;119;1;25.0
441;Gianmarco Cangiano;1;0;0.0
442;Todd Cantwell;16;0;27.6
443;Ander Capa;61;0;69.4
444;Pierrick Capelle;25;0;55.1
445;Étienne Capoue;14;0;78.0
446;Gianluca Caprari;10;0;4.8
447;Gianluca Caprari;5;0;18.2
448;Francesco Caputo;13;0;29.1
449;Maxence Caqueret;2;0;33.3
450;Andrea Carboni;0;0;72.7
451;Irvin Cardona;30;1;55.3
452;Marc Cardona;11;0;19.1
453;Diego Carlos;6;0;68.4
454;Lionel Carole;43;1;71.4
455;Yannick Carrasco;8;2;16.7
456;Daniel Carriço;0;0;45.5
457;Guido Carrillo;6;0;59.3
458;Andy Carroll;6;0;56.1
459;Dani Carvajal;93;1;45.8
460;Matis Carvalho;0;0;
461;William Carvalho;1;0;60.7
462;Casemiro;21;0;63.9
463;Moreto Cassamã;3;0;57.1
464;Francesco Cassata;16;1;30.3
465;Timothy Castagne;52;1;57.9
466;Koen Casteels;0;0;
467;Jean-Charles Castelletto;2;0;61.2
468;Samu Castillejo;46;0;33.3
469;Jonny Castro;43;0;40.7
470;Lucas Castro;5;0;71.4
471;Lucas Castro;19;0;45.5
472;Gaetano Castrovilli;31;1;33.9
473;Danilo Cataldi;11;0;71.4
474;Craig Cathcart;3;0;62.5
475;Edinson Cavani;4;0;40.0
476;Santi Cazorla;53;0;34.4
477;Dani Ceballos;22;0;33.3
478;Federico Ceccherini;0;0;71.1
479;Christian Celesia;1;0;
480;Zeki Çelik;47;1;40.0
481;Fabien Centonze;59;0;58.7
482;Luca Ceppitelli;2;0;53.2
483;Alberto Cerri;2;0;63.3
484;Alberto Cerri;0;0;57.9
485;Julian Chabot;0;0;67.7
486;Florian Chabrolle;0;0;
487;Fouad Chafik;38;0;47.8
488;Sofian Chakla;0;0;50.0
489;Nathaniel Chalobah;4;0;54.8
490;Calum Chambers;27;0;57.8
