;Player;TacklesWon;TklDribbling;Blocks;SuccPressRatio
2198;Wesley Saïd;12;2;15;22.6
2199;Allan Saint-Maximin;11;5;21;24.7
2200;Théo Sainte-Luce;0;0;0;50.0
2201;Borja Sainz;11;5;12;19.7
2202;Romain Saïss;30;23;58;33.8
2203;Bukayo Saka;22;13;25;29.2
2204;Hiroki Sakai;35;25;38;35.1
2205;Mamadou Sakho;7;0;15;28.3
2206;Jacopo Sala;9;9;19;27.8
2207;Mohamed Salah;13;4;13;32.6
2208;Bartosz Salamon;1;0;7;26.9
2209;Eddy Salcedo;1;0;4;27.6
2210;William Saliba;19;6;17;44.3
2211;Yannis Salibur;0;0;1;33.3
2212;Romain Salin;0;0;0;0.0
2213;Mohammed Salisu;33;19;44;30.6
2214;Roland Sallai;17;2;15;28.1
2215;Lazar Samardzic;3;1;2;26.9
2216;Diadie Samassékou;30;10;36;32.0
2217;Mbwana Samatta;7;1;8;26.0
2218;Mama Samba Baldé;23;7;23;22.6
2219;Junior Sambia;12;7;8;28.1
2220;Frédéric Sammaritano;7;3;8;27.3
2221;Fede San Emeterio;17;9;32;26.9
2222;Mikel San José;7;1;6;30.0
2223;Antonio Sanabria;10;3;14;26.0
2224;Oihan Sancet;6;1;7;25.1
2225;Renato Sanches;25;13;25;30.5
2226;Renato Sanches;0;0;0;100.0
2227;Alexis Sánchez;8;2;9;30.3
2228;Carlos Sánchez;1;1;2;23.1
2229;Davinson Sánchez;36;17;56;37.8
2230;Germán Sánchez;12;6;45;28.6
2231;Javi Sánchez;6;4;9;35.9
2232;Manuel Sánchez;6;6;4;27.5
2233;Víctor Sánchez;35;32;31;27.0
2234;Jadon Sancho;14;7;21;31.8
2235;Alex Sandro;25;12;49;28.3
2236;Leroy Sané;0;0;0;
2237;Salif Sané;14;13;19;32.2
2238;Luca Sangalli;1;1;1;28.8
2239;Ibrahim Sangaré;68;27;45;32.5
2240;Oier Sanjurjo;41;24;50;32.2
2241;Yaya Sanogo;2;2;9;26.8
2242;Morgan Sanson;44;12;42;27.8
2243;Nicola Sansone;20;15;28;27.3
2244;Baptiste Santamaria;58;31;39;33.2
2245;Federico Santander;6;2;11;33.3
2246;Davide Santon;9;4;15;31.7
2247;Samir Santos;28;13;29;38.1
2248;Riccardo Saponara;3;0;1;16.7
2249;Riccardo Saponara;7;4;6;21.2
2250;Ivan Šaponjić;0;0;0;50.0
2251;Pablo Sarabia;10;6;12;26.9
2252;Marcelo Saracchi;3;3;3;35.1
2253;Josh Sargent;13;5;26;27.4
2254;Bouna Sarr;30;28;29;28.2
2255;Ismaila Sarr;18;4;20;24.3
2256;Malang Sarr;7;6;23;29.4
2257;Sidy Sarr;27;19;19;28.6
2258;Joan Sastre Vanrell;17;14;16;23.1
2259;Téji Savanier;37;30;16;29.6
2260;Stefan Savić;8;6;26;43.2
2261;Fabian Schär;27;22;44;26.5
2262;Louis Schaub;9;6;13;22.1
2263;Ezequiel Schelotto;5;0;7;29.8
2264;Patrik Schick;4;1;14;24.7
2265;Julian Schieber;1;0;0;11.1
2266;Kingsley Schindler;4;2;18;18.5
2267;Xaver Schlager;44;20;32;33.5
2268;Keven Schlotterbeck;38;17;70;36.4
2269;Nico Schlotterbeck;5;2;7;27.0
2270;Jeffrey Schlupp;6;3;25;24.2
2271;Kasper Schmeichel;0;0;0;40.0
2272;Marcel Schmelzer;0;0;0;30.8
2273;Jonathan Schmid;31;19;60;25.9
2274;Manuel Schmiedebach;2;2;2;29.3
2275;Benno Schmitz;14;15;23;33.7
2276;Morgan Schneiderlin;19;9;22;25.2
2277;Lasse Schöne;28;15;38;28.2
2278;Sebastian Schonlau;35;34;54;32.3
2279;Alessandro Schöpf;22;9;24;32.9
2280;Jerdy Schouten;21;5;25;31.0
2281;Markus Schubert;0;0;1;0.0
2282;Nico Schulz;8;8;12;35.1
2283;Alexander Schwolow;0;0;2;
2284;Matteo Scozzarella;15;10;28;22.8
2285;Aleksandar Sedlar;8;6;24;28.7
2286;Davie Selke;3;2;7;23.2
2287;Davie Selke;3;1;3;26.5
2288;Matz Sels;0;0;0;0.0
2289;Ken Sema;27;27;46;26.2
2290;Nélson Semedo;37;17;42;28.5
2291;Alessandro Semprini;3;6;20;20.7
2292;Josep Señé;1;3;2;30.0
2293;Stefano Sensi;11;7;18;28.2
2294;Luigi Sepe;0;1;0;20.0
2295;Suat Serdar;46;16;38;31.7
2296;Ryan Sessegnon;0;2;4;21.6
2297;Salva Sevilla;20;14;25;26.6
2298;Yevhen Shakhov;22;7;15;25.3
2299;Xherdan Shaqiri;0;0;1;30.8
2300;Billy Sharp;5;1;4;25.3
2301;Luke Shaw;24;15;53;28.5
2302;Khiry Shelton;0;0;0;41.7
2303;Jonjo Shelvey;16;8;26;22.4
2304;Gen Shoji;1;1;0;100.0
2305;Djibril Sidibé;40;34;37;29.1
2306;Kalidou Sidibé;2;1;0;14.3
2307;Sidnei;13;5;23;41.9
2308;Theoson Siebatcheu;5;1;6;21.9
2309;Kaj Sierhuis;0;0;0;0.0
2310;Gylfi Sigurðsson;45;24;49;25.3
2311;Luca Siligardi;3;5;8;26.0
2312;Adrien Silva;28;8;26;33.2
2313;André Silva;4;1;17;36.3
2314;André Silva;1;0;0;13.3
2315;Bernardo Silva;26;15;36;30.4
2316;David Silva;16;10;21;31.8
2317;Gabriel Silva;2;3;8;18.8
2318;Jonathan Silva;19;21;29;25.9
2319;Matheus Pereira da Silva;4;5;13;26.9
2320;Rui Silva;0;0;0;33.3
2321;Thiago Silva;21;13;27;45.1
2322;Marco Silvestri;0;0;0;0.0
2323;Mohamed Simakan;28;19;30;33.2
2324;Giovanni Simeone;11;6;37;26.3
2325;Moses Simon;10;7;17;22.6
2326;Unai Simón;0;0;1;25.0
2327;Jack Simpson;2;1;2;12.5
2328;Sarpreet Singh;0;0;0;29.4
2329;Wilfried Singo;0;1;1;36.4
2330;Daley Sinkgraven;16;9;15;37.8
2331;Dimitris Siovas;25;13;31;38.1
2332;Salvatore Sirigu;0;0;0;0.0
2333;Ibrahima Sissoko;35;12;22;28.3
2334;Moussa Sissoko;35;20;38;28.8
2335;Sambou Sissoko;0;0;0;25.0
2336;Pione Sisto;10;5;18;31.7
2337;Antonio Sivera;0;0;0;
2338;Ellyes Skhiri;49;22;73;30.9
2339;Oliver Skipp;2;1;3;19.4
2340;Łukasz Skorupski;0;0;0;33.3
2341;Andreas Skov Olsen;7;5;14;21.9
2342;Robert Skov;30;26;45;31.8
2343;Simon Skrabb;4;4;8;25.0
2344;Milan Škriniar;29;15;32;28.2
2345;Steven Skrzybski;3;3;13;32.9
2346;Petar Škuletić;0;1;1;20.0
2347;Islam Slimani;7;3;7;26.0
2348;William Smallbone;8;4;10;37.5
2349;Chris Smalling;23;9;60;33.2
2350;Dennis Smarsch;0;0;0;
2351;Adam Smith;30;24;56;27.3
2352;Emile Smith-Rowe;1;1;1;31.8
2353;Fyodor Smolov;1;1;10;23.0
2354;Robert Snodgrass;10;10;21;24.5
2355;Cédric Soares;5;2;10;27.3
2356;Cédric Soares;24;18;37;30.9
2357;Rafa Soares;2;1;7;29.1
2358;Lasse Sobiech;0;0;1;33.3
2359;Marcel Sobottka;12;3;4;23.6
2360;Rubén Sobrino;4;1;3;23.3
2361;Dominic Solanke;10;3;19;23.6
2362;Roberto Soldado;7;4;16;26.9
2363;Carlos Soler;17;10;30;26.0
2364;Oumar Solet;0;0;1;0.0
2365;Yann Sommer;0;0;0;0.0
2366;Kévin Soni;0;0;0;
2367;David Soria;0;0;0;0.0
2368;Bruno Soriano;4;2;7;25.0
2369;Juan Soriano;0;0;0;
2370;Roberto Soriano;37;17;31;29.5
2371;Riccardo Sottil;3;3;9;16.7
2372;Tomáš Souček;25;5;16;32.1
2373;Adama Soumaoro;2;0;10;31.3
2374;Adama Soumaoro;5;2;13;35.4
2375;Boubakary Soumaré;17;10;17;30.9
