;Player;Position;Comp;Age;Min;Goals;Goals;Asists;Asists;GoalAstPer90
171;Fabián Balbuena;DF;eng Premier League;27;1,177;1;0.08;0;0.00;0.08
172;Keita Baldé;FW,MF;fr Ligue 1;24;858;4;0.42;1;0.10;0.52
173;George Baldock;DF;eng Premier League;26;3,420;2;0.05;3;0.08;0.13
174;Gareth Bale;FW,MF;es La Liga;30;1,089;2;0.17;2;0.17;0.33
175;Mikel Balenziaga;DF;es La Liga;31;563;0;0.00;0;0.00;0.00
176;Leonardo Balerdi;DF,MF;de Bundesliga;20;133;0;0.00;0;0.00;0.00
177;Marco Ballarini;MF;it Serie A;18;1;0;0.00;0;0.00;0.00
178;Fodé Ballo-Touré;DF;fr Ligue 1;22;1,679;0;0.00;0;0.00;0.00
179;Florent Balmont;MF;fr Ligue 1;39;401;0;0.00;0;0.00;0.00
180;Mario Balotelli;FW;it Serie A;28;1,404;5;0.32;0;0.00;0.32
181;Abdoulaye Bamba;DF;fr Ligue 1;29;554;0;0.00;0;0.00;0.00
182;Jonathan Bamba;FW,MF;fr Ligue 1;23;1,937;1;0.05;4;0.19;0.23
183;Éver Banega;MF;es La Liga;31;2,475;3;0.11;7;0.25;0.36
184;Mattia Bani;DF;it Serie A;25;2,207;4;0.16;0;0.00;0.16
185;Antonín Barák;MF;it Serie A;24;194;0;0.00;0;0.00;0.00
186;Antonín Barák;MF;it Serie A;24;1,369;2;0.13;1;0.07;0.20
187;Federico Barba;DF;es La Liga;25;450;0;0.00;0;0.00;0.00
188;Danilo Barbosa;DF,MF;fr Ligue 1;23;1,122;0;0.00;0;0.00;0.00
189;Melvin Bard;DF;fr Ligue 1;18;45;0;0.00;0;0.00;0.00
190;Enis Bardhi;MF;es La Liga;24;2,114;7;0.30;2;0.09;0.38
191;Phil Bardsley;DF;eng Premier League;34;1,890;0;0.00;1;0.05;0.05
192;Nicolò Barella;MF;it Serie A;22;2,013;1;0.04;4;0.18;0.22
193;Philipp Bargfrede;MF;de Bundesliga;30;586;0;0.00;0;0.00;0.00
194;Antonino Barillà;MF;it Serie A;31;1,688;1;0.05;2;0.11;0.16
195;Kike Barja;MF,FW;es La Liga;22;313;0;0.00;1;0.29;0.29
196;Ross Barkley;MF;eng Premier League;25;1,103;1;0.08;4;0.33;0.41
197;Aymen Barkok;FW,MF;de Bundesliga;21;79;0;0.00;0;0.00;0.00
198;Ashley Barnes;FW;eng Premier League;29;1,352;6;0.40;0;0.00;0.40
199;Harvey Barnes;MF,FW;eng Premier League;21;2,083;6;0.26;8;0.35;0.60
200;Antonio Barragán;DF;es La Liga;32;641;0;0.00;1;0.14;0.14
201;Antonio Barreca;DF,MF;it Serie A;24;1,095;0;0.00;1;0.08;0.08
202;Leandro Barreiro Martins;MF;de Bundesliga;19;938;0;0.00;2;0.19;0.19
203;Ander Barrenetxea;FW,MF;es La Liga;17;442;0;0.00;0;0.00;0.00
204;Édgar Barreto;MF;it Serie A;35;90;0;0.00;0;0.00;0.00
205;Musa Barrow;FW;it Serie A;20;1,354;9;0.60;2;0.13;0.73
206;Musa Barrow;FW,MF;it Serie A;20;190;0;0.00;2;0.95;0.95
207;Fin Bartels;FW,MF;de Bundesliga;32;340;0;0.00;0;0.00;0.00
208;Marc Bartra;DF,MF;es La Liga;28;2,524;3;0.11;1;0.04;0.14
209;Daniele Baselli;MF;it Serie A;27;1,278;0;0.00;2;0.14;0.14
210;Chris Basham;DF;eng Premier League;31;3,242;0;0.00;1;0.03;0.03
211;Toma Bašić;MF;fr Ligue 1;22;991;1;0.09;3;0.27;0.36
212;Thomas Basila;DF;fr Ligue 1;20;415;0;0.00;0;0.00;0.00
213;Gil Bastião Dias;DF,MF;es La Liga;22;356;0;0.00;1;0.25;0.25
214;Gil Bastião Dias;DF,MF;fr Ligue 1;22;1,057;0;0.00;0;0.00;0.00
215;Borja Bastón;MF,FW;eng Premier League;26;18;0;0.00;0;0.00;0.00
216;Alessandro Bastoni;DF;it Serie A;20;1,921;2;0.09;0;0.00;0.09
217;Bastos;DF;it Serie A;28;765;1;0.12;0;0.00;0.12
218;Oliver Batista-Meier;FW;de Bundesliga;18;13;0;0.00;0;0.00;0.00
219;Michy Batshuayi;FW;eng Premier League;25;239;1;0.38;1;0.38;0.75
220;Cristian Battocchio;MF;fr Ligue 1;27;1,392;3;0.19;1;0.06;0.26
221;Oliver Baumann;GK;de Bundesliga;29;2,700;0;0.00;0;0.00;0.00
222;Julian Baumgartlinger;MF;de Bundesliga;31;1,791;2;0.10;2;0.10;0.20
223;Christoph Baumgartner;MF,FW;de Bundesliga;19;1,493;7;0.42;2;0.12;0.54
224;Noah Joel Sarenren Bazee;FW;de Bundesliga;22;381;1;0.24;0;0.00;0.24
225;Ihlas Bebou;FW,MF;de Bundesliga;25;2,102;6;0.26;1;0.04;0.30
226;Rodrigo Becão;DF;it Serie A;23;2,213;1;0.04;1;0.04;0.08
227;Sheraldo Becker;MF,FW;de Bundesliga;24;540;0;0.00;2;0.33;0.33
228;Timo Becker;DF,MF;de Bundesliga;22;336;0;0.00;0;0.00;0.00
229;Jan Bednarek;DF;eng Premier League;23;3,057;1;0.03;1;0.03;0.06
230;Asmir Begović;GK;it Serie A;32;129;0;0.00;0;0.00;0.00
231;Valon Behrami;MF;it Serie A;34;1,107;0;0.00;0;0.00;0.00
232;Maximilian Beier;FW;de Bundesliga;16;109;0;0.00;0;0.00;0.00
233;Gaëtan Belaud;DF;fr Ligue 1;32;580;0;0.00;0;0.00;0.00
234;Ishak Belfodil;FW,MF;de Bundesliga;27;269;0;0.00;0;0.00;0.00
235;Haris Belkebla;MF;fr Ligue 1;25;1,816;0;0.00;0;0.00;0.00
236;Raoul Bellanova;DF;fr Ligue 1;19;62;0;0.00;0;0.00;0.00
237;Raoul Bellanova;DF;it Serie A;19;18;0;0.00;0;0.00;0.00
238;Karim Bellarabi;FW,DF;de Bundesliga;29;1,424;4;0.25;6;0.38;0.63
239;Jean-Ricner Bellegarde;MF;fr Ligue 1;21;1,497;0;0.00;0;0.00;0.00
240;Héctor Bellerín;DF;eng Premier League;24;1,158;1;0.08;0;0.00;0.08
241;Andrea Belotti;FW;it Serie A;25;3,008;16;0.48;3;0.09;0.57
242;Fran Beltrán;MF;es La Liga;20;1,830;1;0.05;0;0.00;0.05
243;Sami Ben Amar;FW;fr Ligue 1;21;14;0;0.00;0;0.00;0.00
244;Hatem Ben Arfa;MF,FW;es La Liga;32;159;0;0.00;0;0.00;0.00
245;Wissam Ben Yedder;FW;fr Ligue 1;28;2,164;18;0.75;4;0.17;0.91
246;Marco Benassi;MF;it Serie A;24;980;1;0.09;1;0.09;0.18
247;Cristian Benavente;MF,FW;fr Ligue 1;25;349;0;0.00;1;0.26;0.26
248;Lars Bender;DF,MF;de Bundesliga;30;1,373;2;0.13;1;0.07;0.20
249;Sven Bender;DF;de Bundesliga;30;2,726;2;0.07;1;0.03;0.10
250;Darío Benedetto;FW;fr Ligue 1;29;2,101;11;0.47;0;0.00;0.47
251;László Bénes;MF;de Bundesliga;21;898;0;0.00;4;0.40;0.40
252;Walter Benítez;GK;fr Ligue 1;26;2,340;0;0.00;0;0.00;0.00
253;Loris Benito;DF;fr Ligue 1;27;1,896;1;0.05;0;0.00;0.05
254;Bilal Benkhedim;MF,FW;fr Ligue 1;18;132;0;0.00;0;0.00;0.00
255;Ismaël Bennacer;MF;it Serie A;21;2,485;1;0.04;0;0.00;0.04
256;Ryan Bennett;DF;eng Premier League;29;606;0;0.00;0;0.00;0.00
257;Ryan Bennett;DF;eng Premier League;29;331;0;0.00;0;0.00;0.00
258;Keanen Bennetts;MF;de Bundesliga;20;1;0;0.00;0;0.00;0.00
259;Yassine Benrahou;FW,MF;fr Ligue 1;20;168;0;0.00;2;1.07;1.07
260;Yassine Benrahou;MF,FW;fr Ligue 1;20;762;2;0.24;3;0.35;0.59
261;Ramy Bensebaini;DF;de Bundesliga;24;1,448;5;0.31;3;0.19;0.50
262;Nabil Bentaleb;MF;eng Premier League;24;751;0;0.00;0;0.00;0.00
263;Rodrigo Bentancur;MF;it Serie A;22;2,196;0;0.00;7;0.29;0.29
264;Christian Benteke;FW;eng Premier League;28;1,261;2;0.14;1;0.07;0.21
265;Romario Benzar;DF;it Serie A;27;97;0;0.00;0;0.00;0.00
266;Karim Benzema;FW;es La Liga;31;3,141;21;0.60;8;0.23;0.83
267;Yassine Benzia;MF;fr Ligue 1;24;173;0;0.00;0;0.00;0.00
268;Domenico Berardi;FW;it Serie A;24;2,493;14;0.51;10;0.36;0.87
269;Yuri Berchiche;DF;es La Liga;29;2,850;2;0.06;1;0.03;0.09
270;Álex Berenguer;MF,FW;it Serie A;24;1,823;6;0.30;2;0.10;0.39
271;Bartosz Bereszyński;DF;it Serie A;27;2,402;0;0.00;0;0.00;0.00
272;Jóhann Berg Guðmundsson;MF;eng Premier League;28;621;1;0.14;1;0.14;0.29
273;Markel Bergara;MF;es La Liga;33;72;0;0.00;0;0.00;0.00
274;Sander Berge;MF;eng Premier League;21;943;1;0.10;1;0.10;0.19
275;Steven Bergwijn;FW,MF;eng Premier League;21;704;3;0.38;1;0.13;0.51
276;Robert Berić;FW,MF;fr Ligue 1;28;413;1;0.22;0;0.00;0.22
277;Etrit Berisha;GK;it Serie A;30;2,340;0;0.00;0;0.00;0.00
278;Valon Berisha;MF,FW;it Serie A;26;33;0;0.00;0;0.00;0.00
279;Valon Berisha;MF,FW;de Bundesliga;26;941;0;0.00;1;0.10;0.10
280;Sergio Bermejo;FW;es La Liga;21;5;0;0.00;0;0.00;0.00
281;Bernard;MF,FW;eng Premier League;26;1,280;3;0.21;2;0.14;0.35
282;Federico Bernardeschi;MF,FW;it Serie A;25;1,571;1;0.06;1;0.06;0.11
283;Bernardo;DF;eng Premier League;24;679;0;0.00;0;0.00;0.00
284;Paul Bernardoni;GK;fr Ligue 1;22;2,203;0;0.00;0;0.00;0.00
285;Juan Bernat;DF,MF;fr Ligue 1;26;1,388;0;0.00;4;0.26;0.26
286;Dimitry Bertaud;GK;fr Ligue 1;21;196;0;0.00;0;0.00;0.00
287;Andrea Bertolacci;MF;it Serie A;28;534;0;0.00;0;0.00;0.00
288;Ryan Bertrand;DF;eng Premier League;29;2,742;1;0.03;1;0.03;0.07
289;Muhamed Bešić;MF;eng Premier League;26;250;0;0.00;0;0.00;0.00
290;Louis Beyer;DF;de Bundesliga;19;110;0;0.00;0;0.00;0.00
291;Ermin Bičakčić;DF;de Bundesliga;29;1,176;2;0.15;0;0.00;0.15
292;Pedro Bigas;DF;es La Liga;28;1,777;3;0.15;0;0.00;0.15
293;Lucas Biglia;MF;it Serie A;33;685;0;0.00;1;0.13;0.13
294;El Bilal Touré;FW;fr Ligue 1;17;453;3;0.60;0;0.00;0.60
295;Philip Billing;MF;eng Premier League;23;2,530;1;0.04;1;0.04;0.07
296;Cristiano Biraghi;DF,MF;it Serie A;26;1,576;2;0.11;6;0.34;0.46
297;Davide Biraschi;DF;it Serie A;25;1,971;0;0.00;1;0.05;0.05
298;Valter Birsa;MF;it Serie A;32;430;0;0.00;0;0.00;0.00
299;Dimitri Bisoli;MF;it Serie A;25;2,152;1;0.04;1;0.04;0.08
300;Yves Bissouma;MF;eng Premier League;22;1,259;1;0.07;0;0.00;0.07
301;Leonardo Bittencourt;FW;de Bundesliga;25;3;0;0.00;0;0.00;0.00
302;Leonardo Bittencourt;FW,MF;de Bundesliga;25;1,889;4;0.19;2;0.10;0.29
303;Birkir Bjarnason;MF,FW;it Serie A;31;798;0;0.00;1;0.11;0.11
304;Rubén Blanco;GK;es La Liga;24;2,960;0;0.00;0;0.00;0.00
305;Ludovic Blas;FW,MF;fr Ligue 1;21;1,845;5;0.24;1;0.05;0.29
306;Pablo de Blasis;DF,MF;es La Liga;31;1,604;2;0.11;3;0.17;0.28
307;Alejandro Blesa;MF;es La Liga;17;2;0;0.00;0;0.00;0.00
308;Alexis Blin;MF;fr Ligue 1;22;1,841;0;0.00;1;0.05;0.05
309;Jérôme Boateng;DF;de Bundesliga;30;1,796;0;0.00;2;0.10;0.10
310;Kevin-Prince Boateng;FW;it Serie A;32;599;1;0.15;0;0.00;0.15
311;Antonin Bobichon;MF;fr Ligue 1;23;180;0;0.00;0;0.00;0.00
312;Antonin Bobichon;MF;fr Ligue 1;23;649;2;0.28;1;0.14;0.42
313;Salvatore Bocchetti;DF;it Serie A;32;303;0;0.00;0;0.00;0.00
314;Mathieu Bodmer;MF;fr Ligue 1;36;88;1;1.02;0;0.00;1.02
315;Adam Bodzek;MF;de Bundesliga;33;2,015;0;0.00;0;0.00;0.00
316;Jean-Paul Boëtius;MF;de Bundesliga;25;2,266;4;0.16;5;0.20;0.36
317;Sacha Boey;DF;fr Ligue 1;18;172;0;0.00;0;0.00;0.00
